id;creation_date;image;image_content_type
1;2021-02-10T01:46:45;../fake-data/blob/hipster.png;image/png
2;2021-02-10T01:20:47;../fake-data/blob/hipster.png;image/png
3;2021-02-10T11:49:45;../fake-data/blob/hipster.png;image/png
4;2021-02-10T11:16:52;../fake-data/blob/hipster.png;image/png
5;2021-02-10T09:15:39;../fake-data/blob/hipster.png;image/png
6;2021-02-10T19:13:42;../fake-data/blob/hipster.png;image/png
7;2021-02-10T05:37:55;../fake-data/blob/hipster.png;image/png
8;2021-02-09T22:49:32;../fake-data/blob/hipster.png;image/png
9;2021-02-10T14:59:41;../fake-data/blob/hipster.png;image/png
10;2021-02-09T23:29:43;../fake-data/blob/hipster.png;image/png
