id;creation_date;image;image_content_type;appuser_id
1;2021-02-10T01:13:06;../fake-data/blob/hipster.png;image/png;1
2;2021-02-10T18:54:20;../fake-data/blob/hipster.png;image/png;2
3;2021-02-10T14:21:47;../fake-data/blob/hipster.png;image/png;3
4;2021-02-10T10:27:02;../fake-data/blob/hipster.png;image/png;4
5;2021-02-09T22:24:19;../fake-data/blob/hipster.png;image/png;5
6;2021-02-10T10:24:08;../fake-data/blob/hipster.png;image/png;6
7;2021-02-10T20:18:45;../fake-data/blob/hipster.png;image/png;7
8;2021-02-10T03:40:47;../fake-data/blob/hipster.png;image/png;8
9;2021-02-09T23:25:39;../fake-data/blob/hipster.png;image/png;9
10;2021-02-10T07:34:39;../fake-data/blob/hipster.png;image/png;10
