id;creation_date;cmessage_text;is_delivered
1;2021-02-10T04:32:47;Tasty Metal Shirt world-class Berkshire;false
2;2021-02-10T17:29:16;silver markets;true
3;2021-02-10T06:10:39;Fresh Computer;true
4;2021-02-09T23:05:10;Fords;true
5;2021-02-10T03:21:49;generate;true
6;2021-02-10T21:33:49;turquoise transmit Electronics;false
7;2021-02-10T16:07:18;Rustic Fresh Ball Soft AI;false
8;2021-02-10T21:44:16;silver;false
9;2021-02-10T21:06:48;deposit interactive Fantastic Frozen Computer;false
10;2021-02-10T05:48:14;Electronics Belarussian Ruble;false
